iter	Passed	Remaining
477	665	726
478	666	724
479	667	723
480	668	721
481	669	719
482	670	717
483	671	715
484	672	713
485	673	711
486	675	711
487	676	710
488	678	708
489	679	706
490	680	704
491	681	703
492	682	701
493	683	699
494	684	698
495	685	696
496	686	694
497	687	692
498	689	692
499	691	691
500	692	689
501	693	688
502	694	686
503	695	684
504	696	683
505	697	681
506	698	679
507	699	677
508	700	675
509	701	673
510	702	672
511	704	671
512	705	670
513	707	668
514	708	666
515	709	665
516	709	663
517	710	661
518	711	659
519	712	657
520	713	656
521	714	654
522	715	652
523	716	650
524	717	649
525	719	648
526	720	647
527	722	645
528	723	644
529	724	642
530	725	640
531	726	638
532	727	637
533	728	635
534	728	633
535	729	631
536	730	630
537	731	628
538	732	626
539	734	625
540	735	624
541	736	622
542	737	620
543	738	619
544	739	617
545	740	616
546	741	614
547	742	612
548	743	611
549	744	609
550	745	607
551	746	606
552	748	605
553	750	604
554	751	602
555	752	601
556	753	599
557	754	597
558	755	596
559	756	594
560	757	593
561	758	591
562	759	589
563	760	588
564	761	586
565	764	586
566	765	584
567	766	583
568	767	581
569	769	580
570	770	578
571	771	577
572	772	575
573	773	573
574	774	572
575	775	570
576	775	568
577	778	568
578	780	567
579	781	566
580	783	564
581	784	563
582	785	561
583	786	560
584	787	558
585	788	557
586	789	555
587	790	554
588	792	553
589	794	552
590	796	551
591	797	549
592	798	548
593	799	546
594	800	545
595	801	543
596	802	541
597	803	540
598	804	538
599	805	536
600	808	536
601	809	535
602	811	534
603	812	532
604	813	531
605	814	529
606	815	527
607	816	526
608	817	524
609	818	523
610	819	521
611	820	519
612	822	519
613	824	518
614	825	516
615	826	515
616	827	513
617	828	512
618	829	510
619	830	509
620	831	507
621	832	506
622	834	504
623	834	503
624	836	502
625	838	501
626	839	499
627	841	498
628	842	496
629	843	495
630	844	493
631	844	491
632	845	490
633	846	488
634	847	487
635	848	485
636	849	484
637	851	483
638	853	482
639	854	480
640	855	479
641	856	477
642	857	476
643	858	474
644	859	473
645	860	471
646	861	470
647	862	468
648	863	467
649	864	465
650	866	464
651	868	463
652	869	462
653	870	460
654	871	459
655	872	457
656	873	456
657	874	454
658	875	453
659	876	451
660	877	450
661	878	448
662	879	447
663	882	446
664	884	445
665	885	444
666	886	442
667	888	441
668	889	439
669	890	438
670	891	436
671	892	435
672	893	434
673	895	433
674	897	432
675	899	430
676	900	429
677	901	428
678	902	426
679	903	425
680	905	423
681	906	422
682	907	421
683	908	419
684	909	418
685	911	417
686	913	415
687	914	414
688	916	413
689	917	412
690	918	410
691	919	409
692	920	407
693	921	406
694	922	404
695	922	403
696	923	401
697	925	400
698	927	399
699	929	398
700	930	396
701	931	395
702	933	394
703	934	392
704	935	391
705	936	389
706	937	388
707	938	387
708	940	386
709	942	384
710	943	383
711	945	382
712	946	380
713	947	379
714	948	378
715	949	376
716	950	375
717	951	373
718	953	372
719	955	371
720	956	370
721	958	369
722	960	367
723	961	366
724	962	365
725	964	363
726	965	362
727	966	361
728	970	360
729	971	359
730	973	358
731	975	357
732	976	355
733	977	354
734	979	353
735	981	351
736	984	351
737	986	350
738	990	349
739	991	348
740	992	346
741	993	345
742	995	344
743	999	343
744	1001	342
745	1003	341
746	1005	340
747	1006	339
748	1008	337
749	1009	336
750	1010	334
751	1012	333
752	1014	332
753	1016	331
754	1018	330
755	1019	329
756	1021	327
757	1022	326
758	1023	324
759	1024	323
760	1025	322
761	1028	321
762	1031	320
763	1032	319
764	1034	317
765	1036	316
766	1037	315
767	1038	313
768	1039	312
769	1040	310
